Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
4dbddb44-6dab-6a69-33c0-ed17c90a7523,1999-01-19,,999-27-7863,S99999284,X74590654X,Mr.,Lanny564,Bartoletti50,,,,white,nonhispanic,M,Saugus  Massachusetts  US,997 Hilpert Trafficway,Attleboro,Massachusetts,Bristol County,,41.9170923695831,-71.37631657811067,604126.44,4697.97
2a1214a2-7488-3b1b-0d21-0678b279fecb,1995-07-28,,999-89-4275,S99935399,X43612931X,Mr.,Rubin812,Gulgowski816,,,,white,nonhispanic,M,Billerica  Massachusetts  US,1013 Pouros Orchard Apt 37,Lynn,Massachusetts,Essex County,,42.44449437504859,-70.97803480585554,54666.47,33950.50
b191cd76-2dbf-5af3-a9c4-7f770e18bc31,1993-06-02,,999-99-5657,S99971337,X36838239X,Mr.,Gaston250,Moen819,,,S,white,nonhispanic,M,Lenox  Massachusetts  US,670 Gerhold Haven Suite 43,Palmer,Massachusetts,Hampden County,01057,42.06306717623894,-72.33344687223293,944069.78,800.70
ceaaa849-8b9a-48e7-cf92-aeaaeed0d486,1983-12-19,,999-66-9762,S99982576,X72144395X,Mrs.,Karma832,Spencer878,,Anderson154,M,white,nonhispanic,F,Taunton  Massachusetts  US,203 Boyer Gateway,Haverhill,Massachusetts,Essex County,,42.82113916014585,-71.18045729801645,229386.87,989380.51
46df91f7-d789-de1d-1766-3bcc06f504aa,1956-03-04,,999-58-4468,S99975460,X77283445X,Mrs.,Alejandra902,Adorno791,,Galindo802,M,white,hispanic,F,Guatemala City  Guatemala  GT,183 Wilderman Ranch Suite 88,Newton,Massachusetts,Middlesex County,02464,42.344453545229854,-71.24734889494015,2846160.05,23723.55
75cbf993-24e7-5695-0185-fc7ae1574e0a,1957-04-04,1959-04-04,999-71-7879,,,,Freeman822,Lindgren255,,,,white,nonhispanic,M,Norwood  Massachusetts  US,105 Koss Grove,Methuen,Massachusetts,Essex County,01841,42.70663230450794,-71.17251518273022,51656.85,74.95
0716a41b-b232-dd68-e61b-9eea8bd428bb,2018-02-19,,999-18-5892,,,,Bruno518,Fritsch593,,,,white,nonhispanic,M,Abington  Massachusetts  US,498 Shanahan Loaf,Cambridge,Massachusetts,Middlesex County,02141,42.39767433703486,-71.08224960526111,123246.63,96.06
bb990949-195f-0fe8-4f98-b564d8a8fc25,1991-11-09,,999-75-4403,S99981414,X56924421X,Mrs.,Deena887,Cremin516,,Stokes453,M,white,nonhispanic,F,Lawrence  Massachusetts  US,606 Kunze Port,Leominster,Massachusetts,Worcester County,01420,42.47669911979401,-71.75862352446296,669038.60,57.86
f03d8cdd-55a3-1730-ea76-6cfeae48d2b3,1958-03-03,,999-81-3133,S99999015,X4366843X,Mr.,Emmanuel930,Prohaska837,,,M,black,nonhispanic,M,Wakefield  Massachusetts  US,867 Waelchi Well Unit 78,Natick,Massachusetts,Middlesex County,,42.25573174033101,-71.3872603768279,1602695.76,3259.21
810f5a62-10e9-b868-3343-7cebfd68da2e,2000-02-14,,999-30-9207,S99947202,X64501022X,Mr.,Arnoldo445,Dietrich576,,,,white,nonhispanic,M,Brockton  Massachusetts  US,898 Bradtke Promenade,Worcester,Massachusetts,Worcester County,01607,42.34480370747375,-71.77302251496292,1077165.32,118460.51
abcdce65-f2e8-d76a-edb0-603aa98e9113,1965-02-20,,999-97-2642,S99930815,X50159789X,Mrs.,Malorie969,Lesch175,,Parker433,M,white,nonhispanic,F,Dalton  Massachusetts  US,588 Orn Village Apt 30,New Bedford,Massachusetts,Bristol County,02740,41.68915350131367,-70.9917599741005,394204.08,305293.70
d90fead4-f6db-f8a1-8756-4f84b1bbcb00,2019-09-05,,999-31-9461,,,,Louise871,Kautzer186,,,,white,nonhispanic,F,Andover  Massachusetts  US,802 Marks Camp,Marblehead,Massachusetts,Essex County,,42.480288984078186,-70.8174950148734,78057.20,106.01
44d6fff8-053f-2d0d-f0cb-65ae214ae021,1952-05-08,,999-77-1834,S99915008,X49922978X,Mrs.,Romona686,Treutel973,,Schuster709,M,white,nonhispanic,F,Waltham  Massachusetts  US,227 Welch Ranch,Sterling,Massachusetts,Worcester County,,42.49466252897463,-71.75263596771916,2110503.88,310716.25
dd6f6407-6163-edf2-83db-8e992b583413,1997-03-31,,999-86-5190,S99928961,X73760576X,Mr.,Mose244,Heidenreich818,,,,white,nonhispanic,M,Salvador  Bahia  BR,1021 Kunde Port,Boston,Massachusetts,Suffolk County,02121,42.31114678020855,-71.11850562162397,612804.64,3855.85
5befed45-7c14-fb3a-636d-2139a74d6267,1957-04-04,,999-60-5267,S99961887,X46964011X,Mr.,Clarence5,Bashirian201,,,M,white,nonhispanic,M,New Bedford  Massachusetts  US,637 Lubowitz Boulevard,Methuen,Massachusetts,Essex County,,42.79140453526183,-71.17391784537695,1644695.93,20671.58
20b7ec76-0be7-6735-e35c-9d76307c656d,1965-05-05,,999-40-3894,S99942575,X80533784X,Mrs.,Catalina187,Villaseñor332,,Meraz691,M,white,hispanic,F,Mexico City  Mexico City  MX,1076 Doyle Port,Boston,Massachusetts,Suffolk County,02114,42.39040207979835,-71.02647664114392,2048801.49,460488.11
89f17880-d81c-488d-348b-e7a5db2f569d,1958-06-03,,999-23-5145,S99930076,X63986339X,Mrs.,Lavon272,Boehm581,,Bednar518,M,white,nonhispanic,F,Newton  Massachusetts  US,473 Upton Plaza,Waltham,Massachusetts,Middlesex County,02452,42.368736187675246,-71.20630997521287,1710580.93,13226.56
78f0fe67-71fd-d9b4-18d1-79c8328c9ab3,1977-06-09,,999-67-6034,S99951156,X17399875X,Mrs.,Senaida415,Jacobson885,,Lesch175,M,asian,nonhispanic,F,Danvers  Massachusetts  US,120 Reichert Burg Unit 94,Medford,Massachusetts,Middlesex County,02155,42.42789684509044,-71.12007195656,1310753.40,375396.93
49235cba-3d91-8905-d9a3-aa4f279f79c3,1963-09-08,,999-91-6337,S99951825,X71809039X,Mr.,Harris789,Daniel959,,,S,white,nonhispanic,M,Salem  Massachusetts  US,710 McCullough Park Suite 30,Bellingham,Massachusetts,Norfolk County,,42.07184803131232,-71.42700751749585,1688778.67,53556.70
99763c6a-78b8-d2cd-39f6-37db45930789,2019-06-24,,999-22-8793,,,,Marlen929,Kuhlman484,,,,white,nonhispanic,F,Watertown  Massachusetts  US,263 Bogisich Passage,Haverhill,Massachusetts,Essex County,01830,42.77666494947217,-71.07514780111566,52278.60,0.00
4a5441d4-d50d-4e2f-fefb-bd10b5c5c8a7,2006-06-30,,999-86-3472,,,,Wes853,Paucek755,,,,white,nonhispanic,M,Webster  Massachusetts  US,588 Langworth Forge,Lowell,Massachusetts,Middlesex County,01854,42.651567969743034,-71.33738606435313,302426.48,63.00
c852f976-f349-99db-f8a5-57f7a205e293,1953-06-08,,999-24-6391,S99938392,X32922620X,Mr.,Virgilio529,Rippin620,,,M,white,nonhispanic,M,Lawrence  Massachusetts  US,756 Howe Lock Unit 10,Marshfield,Massachusetts,Plymouth County,,42.15200705837517,-70.71567433981524,1797412.97,3974.39
b62016d4-eedd-007c-60d9-89cc63162bef,1958-03-05,,999-21-7298,S99952455,X64603171X,Mrs.,Lauren941,Dickinson688,,Bahringer146,M,white,hispanic,F,Boston  Massachusetts  US,187 Ward Camp Unit 78,Natick,Massachusetts,Middlesex County,,42.33368769995507,-71.3079059541681,1979066.02,108732.00
17c8bd84-8197-720e-ad4b-5f0d94492495,2022-02-04,,999-38-1911,,,,Hung902,Lesch175,,,,white,nonhispanic,M,Boston  Massachusetts  US,775 Marquardt Neck Unit 21,Longmeadow,Massachusetts,Hampden County,01106,42.08632584847826,-72.53336775743328,10034.24,402.74
9106cb11-102f-a16c-0527-477f35645161,1987-02-17,,999-54-8409,S99951843,X78599696X,Mr.,Dean966,Bartoletti50,,,M,black,nonhispanic,M,Lowell  Massachusetts  US,481 Tremblay Byway,Adams,Massachusetts,Berkshire County,01220,42.61999322046238,-73.09742414312797,667207.54,244.46
4869442f-6fbe-3b9c-197f-f0a885a4c3d4,1952-10-08,2018-08-22,999-39-1399,S99993758,X2582738X,Mr.,Norris589,Gerhold939,,,S,black,nonhispanic,M,Middleborough  Massachusetts  US,658 Conn Estate Unit 35,Bellingham,Massachusetts,Norfolk County,02019,42.081423480348,-71.50901274615839,2852844.27,92820.00
a89e9426-b906-41e1-6e63-72523112b180,1966-11-19,,999-91-7620,S99970647,X8547195X,Mrs.,Henry768,Murazik203,,Will178,M,white,nonhispanic,F,Housatonic  Massachusetts  US,948 Gislason Trail Unit 0,Woburn,Massachusetts,Middlesex County,01890,42.495365247832446,-71.19171766094395,1714580.54,123767.48
11b785dc-3408-5cc2-53f9-76f75836eb51,1968-06-23,,999-29-4996,S99956408,X22274855X,Ms.,Angelita915,Brown30,,,S,white,nonhispanic,F,Quincy  Massachusetts  US,893 Rempel Corner Apt 9,Milton,Massachusetts,Norfolk County,02186,42.27606048937147,-71.1073548016185,2896207.82,171304.74
42885190-7f84-1558-0cec-a9281be1705e,1952-10-08,,999-61-8947,S99997308,X66945660X,Mr.,Sebastian508,Rath779,,,S,black,nonhispanic,M,Westport  Massachusetts  US,147 Kulas Estate,Bellingham,Massachusetts,Norfolk County,,42.027087241930154,-71.4266753847938,2356863.70,179710.76
9c567184-63d4-09d4-e246-709d3a1a40b2,1990-08-29,,999-74-6022,S99920150,X5737355X,Mrs.,Mozelle144,Marquardt819,,Quigley282,M,white,nonhispanic,F,Malden  Massachusetts  US,259 Christiansen Crossroad,Dover,Massachusetts,Norfolk County,,42.26645442317769,-71.280987403857,1224528.11,130171.42
0b2baf27-c052-8d25-acd1-38de167bd06a,1978-03-10,1989-03-07,999-83-3853,,,,Odell776,Skiles927,,,,white,nonhispanic,M,Dudley  Massachusetts  US,534 Cruickshank Orchard,Barre,Massachusetts,Worcester County,01005,42.46395386820366,-72.08537050454908,288294.27,0.00
f51f3ac5-4eb7-8d02-314c-8c95c424677e,1977-04-07,,999-90-5118,S99954271,X69763959X,Mrs.,Leilani136,Dickinson688,,Daugherty69,M,white,nonhispanic,F,Auburn  Massachusetts  US,864 Eichmann Frontage road Suite 93,Millis,Massachusetts,Norfolk County,,42.131228268949585,-71.32213612269223,1295676.22,117398.80
64d36417-5315-89ea-8c66-a60f55b9d058,2003-09-15,,999-99-9690,S99977019,,Mr.,Michale231,Runolfsson901,,,,white,nonhispanic,M,Hampden  Massachusetts  US,882 Gusikowski Terrace,Quincy,Massachusetts,Norfolk County,02170,42.211354172351996,-71.00793828529137,473679.03,1355.55
a74e1231-1e25-8a18-8078-623142a19820,1978-03-10,,999-92-8027,S99911049,X66142728X,Mr.,Enoch803,Boehm581,,,M,white,nonhispanic,M,Saugus  Massachusetts  US,512 Crona Hollow,Barre,Massachusetts,Worcester County,01005,42.386233317883,-72.09339102374966,1073992.10,545.39
df956a45-14d5-4d08-4a66-ff6f9e4fb8ef,1990-04-15,,999-51-7903,S99958391,X42240253X,Mrs.,Bernardina456,Effertz744,,Hoeger474,M,white,nonhispanic,F,Framingham  Massachusetts  US,830 Hagenes Haven,Brockton,Massachusetts,Plymouth County,,42.134427932668096,-70.9495637375555,1053773.32,11049.46
1668e810-c194-4494-e5f3-632706b1c5c0,1994-08-15,,999-12-8724,S99983446,X3061088X,Mr.,Leonard963,Simonis280,,,M,white,nonhispanic,M,Hanover  Massachusetts  US,123 Rath Byway,Williamstown,Massachusetts,Berkshire County,01267,42.67228043066395,-73.21577684823828,1192570.08,153484.85
2735de8b-8023-fa2d-72dc-eb94ef93c6d2,1993-05-17,,999-59-3497,S99916908,X44094184X,Mr.,Alfred550,Moen819,,,S,white,nonhispanic,M,Springfield  Massachusetts  US,133 Herman Divide Apt 94,Hanover,Massachusetts,Plymouth County,,42.07335297741565,-70.85926965091758,683090.32,815.77
8700298b-b0fb-9bfc-7b66-73c252734bba,1964-12-30,,999-85-6591,S99978740,X65242572X,Mr.,Alberto639,Mosciski958,,,M,white,nonhispanic,M,Methuen  Massachusetts  US,527 Bogisich Rest Suite 36,Pembroke,Massachusetts,Plymouth County,,42.078042285688944,-70.82673927419958,1554776.30,0.00
0b5055f2-56a9-cbc6-cfbf-bdc0c5e8a3b6,1948-06-10,,999-20-4690,S99915524,X24608341X,Mr.,Roy364,Feeney44,,,S,white,nonhispanic,M,Foxborough  Massachusetts  US,543 Auer Knoll Unit 46,Waltham,Massachusetts,Middlesex County,02452,42.41207815630778,-71.24295571651798,1921609.40,83338.12
d2a7bfc4-ff81-3b99-b60e-59d7e9ca785e,1942-05-13,,999-16-2395,S99941519,X57326926X,Mrs.,Bridgette172,Prosacco716,,Breitenberg711,M,asian,nonhispanic,F,Salem  Massachusetts  US,685 Monahan Gate,Cambridge,Massachusetts,Middlesex County,02140,42.34001112515681,-71.10684016377589,3260440.45,976153.87
2a3666e4-8a37-cde9-1734-bceb27ed29b1,1964-03-15,,999-96-7744,S99933562,X15246118X,Mr.,Ray930,Rodriguez71,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,727 Lang Ferry,Gloucester,Massachusetts,Essex County,,42.64069966870376,-70.71417070656015,1474908.52,2567.90
31971a81-a7a6-4cd6-9fc9-ee1b05b5311e,1976-12-01,,999-93-8032,S99946410,X88721420X,Mrs.,Guillermina633,Strosin214,,Paucek755,M,white,nonhispanic,F,Middleborough  Massachusetts  US,115 Daugherty Rue,Randolph,Massachusetts,Norfolk County,02368,42.197112723191964,-71.0050000337959,553528.18,6299.70
